loan_id,source,financial_institution,interest_rate,unpaid_principal_bal,loan_term,origination_date,first_payment_date,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,loan_purpose,insurance_percent,co-borrower_credit_score,insurance_type,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
3.37E+11,X,OTHER,4.5,125000,360,3/1/2012,May-12,75,1,45,697,B12,0,0,0,0,0,1,1,2,3,4,4,6,0,0,0,1
8.54E+11,Y,Browning-Hart,3.75,74000,180,2/1/2012,Apr-12,43,1,38,679,B12,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,1
6.04E+11,Y,Browning-Hart,4,175000,360,1/1/2012,Mar-12,70,1,45,740,C86,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1.44E+11,X,OTHER,3.625,115000,360,2/1/2012,Apr-12,74,1,28,729,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.97E+11,Z,Browning-Hart,4.25,180000,360,1/1/2012,Mar-12,77,2,41,733,A23,0,732,0,0,0,0,0,0,1,2,2,2,2,2,3,1
6.32E+11,X,"Miller, Mcclure and Allen",5.125,98000,360,3/1/2012,May-12,35,1,45,626,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7.05E+11,X,OTHER,4.125,188000,240,2/1/2012,Apr-12,80,2,23,790,A23,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.29E+11,Y,"Swanson, Newton and Miller",3.99,415000,360,1/1/2012,Mar-12,68,2,48,778,C86,0,787,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4.33E+11,X,OTHER,3.875,70000,360,2/1/2012,Apr-12,52,2,28,787,C86,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.85E+11,Y,Browning-Hart,4.125,57000,360,2/1/2012,Apr-12,75,1,41,714,B12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
2.14E+11,Y,Browning-Hart,4,249000,360,1/1/2012,Mar-12,60,1,36,783,C86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5.85E+11,Y,Browning-Hart,4.125,153000,360,2/1/2012,Apr-12,77,1,35,795,B12,0,0,0,0,1,0,0,0,0,0,0,1,1,2,3,1
6.79E+11,X,OTHER,4.375,177000,360,2/1/2012,Apr-12,79,2,24,675,A23,0,702,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9.64E+11,Z,OTHER,5,315000,360,2/1/2012,Apr-12,75,1,38,672,B12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.55E+11,X,OTHER,3.625,172000,240,1/1/2012,Mar-12,80,2,25,771,A23,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.91E+11,Z,Browning-Hart,3.625,220000,240,2/1/2012,Apr-12,54,1,31,764,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.49E+11,X,Browning-Hart,3.875,288000,360,2/1/2012,Apr-12,60,2,15,784,C86,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.93E+11,X,OTHER,5.25,64000,360,1/1/2012,Mar-12,73,1,49,685,A23,0,0,0,0,1,2,0,2,3,2,0,1,1,2,3,1
1.80E+11,X,OTHER,4.125,224000,360,3/1/2012,May-12,76,1,44,733,B12,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1
8.48E+11,Y,"Turner, Baldwin and Rhodes",3.75,417000,360,1/1/2012,Mar-12,68,1,36,807,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.78E+11,Y,Browning-Hart,4.5,154000,360,1/1/2012,Mar-12,75,1,42,684,C86,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
3.91E+11,X,OTHER,4.75,345000,360,1/1/2012,Mar-12,85,2,38,654,C86,12,697,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.96E+11,X,OTHER,2.875,118000,120,2/1/2012,Apr-12,53,2,37,731,B12,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.89E+11,Z,OTHER,3.625,224000,360,2/1/2012,Apr-12,80,1,48,775,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
9.08E+11,Y,Browning-Hart,4.25,256000,360,2/1/2012,Mar-12,80,1,33,731,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.00E+11,X,OTHER,4.5,199000,240,1/1/2012,Mar-12,80,2,25,681,A23,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.38E+11,X,OTHER,4.5,304000,360,1/1/2012,Mar-12,80,1,29,727,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.64E+11,X,OTHER,4,114000,360,3/1/2012,May-12,95,1,17,712,C86,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.65E+11,Y,Anderson-Taylor,4.375,148000,360,1/1/2012,Feb-12,95,1,30,761,C86,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1.98E+11,Y,Browning-Hart,4.5,105000,360,1/1/2012,Mar-12,75,1,38,691,B12,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1
4.54E+11,Y,Edwards-Hoffman,4.375,65000,180,2/1/2012,Apr-12,69,2,36,640,A23,0,658,0,0,0,0,0,0,0,1,0,1,1,1,1,1
6.62E+11,Y,"Swanson, Newton and Miller",4,190000,360,1/1/2012,Mar-12,95,2,24,669,C86,30,685,0,0,1,0,0,1,0,1,0,1,1,1,1,1
9.84E+11,Y,Browning-Hart,5.125,207000,360,1/1/2012,Mar-12,75,1,18,701,C86,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,1
8.65E+11,X,"Martinez, Duffy and Bird",3.46,185000,180,2/1/2012,Apr-12,40,2,15,773,B12,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.59E+11,Z,OTHER,4.25,169000,360,1/1/2012,Mar-12,68,2,21,716,A23,0,738,0,0,0,0,0,0,0,0,1,1,0,0,0,1
5.91E+11,Y,"Martinez, Duffy and Bird",3.75,417000,360,1/1/2012,Mar-12,57,2,27,777,C86,0,788,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2.31E+11,Y,Browning-Hart,4.375,131000,360,1/1/2012,Mar-12,75,1,34,753,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.93E+11,Y,Browning-Hart,4.875,116000,300,1/1/2012,Mar-12,80,2,44,702,B12,0,699,0,1,1,1,1,1,1,1,1,1,1,1,1,1
6.73E+11,Y,"Swanson, Newton and Miller",4.125,171000,360,1/1/2012,Mar-12,80,1,45,686,A23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
3.32E+11,X,OTHER,4.25,54000,360,1/1/2012,Mar-12,60,1,40,669,C86,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
8.50E+11,Y,Browning-Hart,5,344000,360,2/1/2012,Apr-12,78,2,32,641,A23,0,760,0,0,1,0,0,0,1,1,1,1,0,1,0,1
1.95E+11,Z,Edwards-Hoffman,3.98,395000,360,1/1/2012,Mar-12,80,1,32,807,B12,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,1
7.12E+11,Y,Browning-Hart,4.125,95000,360,1/1/2012,Mar-12,74,2,39,689,C86,0,668,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2.48E+11,X,Browning-Hart,3.875,70000,180,2/1/2012,Apr-12,80,1,28,711,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.17E+11,X,OTHER,3.375,110000,120,2/1/2012,Apr-12,54,2,37,696,B12,0,656,0,0,0,0,0,0,0,0,0,0,1,0,1,1
9.99E+11,Z,"Miller, Mcclure and Allen",4.375,221000,360,2/1/2012,Apr-12,95,1,39,709,C86,30,0,0,0,0,0,0,0,0,1,2,3,4,5,6,1
6.25E+11,Y,Edwards-Hoffman,4.375,135000,360,1/1/2012,Mar-12,60,1,33,733,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.70E+11,X,OTHER,4,80000,360,1/1/2012,Mar-12,55,1,27,760,B12,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,1
7.36E+11,X,Browning-Hart,3.375,103000,180,1/1/2012,Mar-12,80,1,44,668,A23,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1
6.23E+11,Y,OTHER,4.375,160000,360,1/1/2012,Mar-12,73,1,47,672,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.00E+11,X,Browning-Hart,4.375,157000,360,2/1/2012,Apr-12,62,2,42,691,B12,0,671,0,1,2,3,4,5,6,7,0,1,2,2,1,1
4.13E+11,Z,OTHER,3.5,244000,180,1/1/2012,Mar-12,88,1,37,635,A23,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
5.31E+11,X,Edwards-Hoffman,3.928,91000,360,2/1/2012,Mar-12,80,1,40,757,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.58E+11,Y,OTHER,4.375,141000,360,2/1/2012,Apr-12,30,1,41,703,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.73E+11,Y,Browning-Hart,4.625,134000,360,1/1/2012,Mar-12,80,1,41,677,C86,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1
5.93E+11,Z,Browning-Hart,3.375,295000,180,2/1/2012,Apr-12,48,2,24,743,B12,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.92E+11,Z,"Taylor, Hunt and Rodriguez",4.25,122000,360,1/1/2012,Mar-12,80,1,38,727,A23,0,0,0,0,0,1,0,0,0,1,1,1,1,2,3,1
5.40E+11,X,Browning-Hart,2.875,142000,180,1/1/2012,Mar-12,80,2,41,786,C86,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.46E+11,Y,"Turner, Baldwin and Rhodes",3.875,256000,360,2/1/2012,Apr-12,80,1,36,768,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.30E+11,X,Nicholson Group,3.625,59000,180,3/1/2012,May-12,72,2,41,665,A23,0,660,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1.60E+11,Y,Browning-Hart,4,145000,360,2/1/2012,Apr-12,80,1,34,709,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.65E+11,X,OTHER,4,413000,360,2/1/2012,Apr-12,70,2,31,753,B12,0,718,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2.08E+11,X,OTHER,4.5,117000,360,3/1/2012,May-12,79,2,26,639,A23,0,693,0,0,0,0,0,1,0,1,1,2,2,2,1,1
2.52E+11,X,OTHER,3.875,250000,360,1/1/2012,Mar-12,65,1,37,717,B12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
8.15E+11,X,Nicholson Group,5.25,124000,360,2/1/2012,Apr-12,73,1,41,637,B12,0,0,0,0,1,1,1,2,2,1,2,2,1,1,1,1
7.68E+11,X,Browning-Hart,4.25,163000,360,2/1/2012,Apr-12,80,2,22,809,A23,0,808,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.22E+11,Z,OTHER,5.25,110000,360,1/1/2012,Mar-12,80,2,16,674,C86,0,666,0,0,0,1,0,0,1,1,1,1,1,1,1,1
2.48E+11,Y,Browning-Hart,4.375,250000,360,1/1/2012,Mar-12,68,2,43,676,B12,0,648,0,1,2,3,4,5,6,7,0,1,2,2,1,1
3.41E+11,X,OTHER,5.375,420000,360,1/1/2012,Mar-12,70,1,33,756,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.14E+11,X,"Martinez, Duffy and Bird",3.95,95000,360,2/1/2012,Apr-12,49,1,32,760,A23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1
5.31E+11,Y,Edwards-Hoffman,4.125,242000,360,2/1/2012,Apr-12,70,2,37,737,B12,0,696,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3.58E+11,X,OTHER,4.5,183000,180,2/1/2012,Apr-12,67,2,22,806,A23,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.65E+11,X,OTHER,4.625,396000,360,2/1/2012,Apr-12,80,1,38,667,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.56E+11,Y,Browning-Hart,4.375,334000,360,2/1/2012,Apr-12,95,2,44,700,C86,30,703,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7.62E+11,Y,OTHER,4.25,98000,360,1/1/2012,Mar-12,80,2,33,763,C86,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.56E+11,X,OTHER,4.5,165000,180,2/1/2012,Apr-12,60,2,22,806,A23,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.41E+11,X,OTHER,5.125,25000,360,1/1/2012,Mar-12,75,2,28,753,C86,0,696,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.12E+11,X,OTHER,4.25,130000,360,2/1/2012,Apr-12,39,1,34,650,B12,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
1.15E+11,X,OTHER,4.25,90000,300,1/1/2012,Mar-12,80,1,29,659,B12,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1.46E+11,Z,Nicholson Group,4.5,283000,360,1/1/2012,Feb-12,63,2,44,777,B12,0,726,0,0,0,0,0,0,0,1,2,3,4,4,0,1
1.37E+11,X,OTHER,3.75,160000,240,3/1/2012,May-12,70,2,30,707,B12,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.72E+11,Y,"Cole, Brooks and Vincent",4,268000,360,2/1/2012,Apr-12,90,2,41,730,A23,25,777,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2.41E+11,Y,"Swanson, Newton and Miller",4.125,145000,360,1/1/2012,Mar-12,69,1,44,719,B12,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
7.83E+11,X,Browning-Hart,4.375,96000,360,3/1/2012,Apr-12,76,1,40,787,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.66E+11,Y,OTHER,4.625,156000,360,1/1/2012,Mar-12,80,2,23,699,B12,0,742,0,0,1,0,0,1,1,0,1,1,1,0,0,1
1.00E+12,X,OTHER,4.375,72000,240,2/1/2012,Apr-12,73,2,33,798,A23,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.36E+11,X,OTHER,4,386000,360,2/1/2012,Apr-12,46,1,21,673,A23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
5.90E+11,X,OTHER,4.625,98000,360,2/1/2012,Apr-12,70,1,49,643,C86,0,0,0,0,0,0,0,1,2,1,2,3,4,5,6,1
9.57E+11,X,"Swanson, Newton and Miller",4.5,29000,360,1/1/2012,Mar-12,80,1,15,783,C86,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
4.28E+11,Y,Edwards-Hoffman,4.05,360000,360,1/1/2012,Mar-12,80,1,32,790,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.67E+11,Y,"Cole, Brooks and Vincent",5.25,47000,360,1/1/2012,Mar-12,80,1,20,678,C86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.41E+11,Y,Browning-Hart,4.5,100000,360,2/1/2012,Apr-12,79,2,31,716,B12,0,728,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1.21E+11,Y,Browning-Hart,3.75,120000,180,2/1/2012,Apr-12,73,1,26,645,B12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
2.85E+11,Y,Browning-Hart,4,193000,360,2/1/2012,Apr-12,54,2,45,640,B12,0,687,0,1,0,0,1,0,0,0,0,1,1,0,0,1
4.34E+11,Y,Browning-Hart,4.5,210000,360,2/1/2012,Apr-12,75,1,41,666,C86,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1
3.19E+11,X,OTHER,4.5,224000,360,2/1/2012,Apr-12,92,1,35,739,A23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8.53E+11,Y,Browning-Hart,4.25,133000,360,1/1/2012,Mar-12,65,1,40,672,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1.21E+11,Z,Browning-Hart,4.125,384000,360,1/1/2012,Mar-12,68,2,29,663,B12,0,674,0,1,0,0,0,0,0,0,1,0,0,0,0,1
8.59E+11,X,OTHER,4.375,180000,360,1/1/2012,Mar-12,79,2,50,657,C86,0,693,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.78E+11,X,"Martinez, Duffy and Bird",3.75,339000,180,2/1/2012,Apr-12,40,2,47,697,A23,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.03E+11,Y,Browning-Hart,3.875,70000,360,2/1/2012,Apr-12,90,1,26,780,A23,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2.10E+11,Z,OTHER,4.5,120000,360,2/1/2012,Apr-12,65,1,27,658,A23,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1
1.80E+11,X,OTHER,4.5,136000,360,1/1/2012,Mar-12,80,1,38,691,A23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
7.49E+11,Z,"Turner, Baldwin and Rhodes",3.75,110000,180,2/1/2012,Apr-12,62,1,31,660,B12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9.28E+11,X,"Cole, Brooks and Vincent",3.99,123000,360,1/1/2012,Mar-12,69,1,45,744,A23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.92E+11,Y,Browning-Hart,4.375,147000,360,2/1/2012,Apr-12,75,2,34,680,B12,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.96E+11,Y,OTHER,3.875,216000,240,1/1/2012,Mar-12,29,1,31,684,B12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6.12E+11,Z,OTHER,4.5,101000,360,2/1/2012,Apr-12,68,1,18,691,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
6.34E+11,X,OTHER,4.25,184000,360,1/1/2012,Mar-12,80,1,31,811,B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.34E+11,Z,OTHER,4.625,60000,360,1/1/2012,Mar-12,44,1,35,681,B12,0,0,0,0,1,1,1,1,2,1,2,1,2,3,4,1
